"ID","run","circle_orange","density","secondary","circle_blue","fraction_blue","dominant","step","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","de_sq_bl","de_cl_bl","de_sq_or","de_cl_or","dv_sq_bl","dv_cl_bl","dv_sq_or","dv_cl_or","et_sq_bl_v","et_cl_bl_v","et_sq_or_v","et_cl_or_v","vl_sq_bl_v","vl_cl_bl_v","vl_sq_or_v","vl_cl_or_v","de_sq_bl_v","de_cl_bl_v","de_sq_or_v","de_cl_or_v","dv_sq_bl_v","dv_cl_bl_v","dv_sq_or_v","dv_cl_or_v"
"asym_dom",140,50,70,0,50,80,6,2000,0.954976090854752,0.789361273423332,0.837474937343358,0.241188083273511,0.771835358969251,0.794180267311438,0.845219298245614,0.859063173007897,1.21548499642454,1.00469194338243,3.90749874364576,1.12533771501651,1.54452169407848,1.58748588675139,1.69137048105379,1.7171802411997,0.0121630344926048,0.0320636564943418,0.0671482067555507,0.0288289917256177,0.0810200742090489,0.0524785136932411,0.0617317015848388,0.0340159618150764,0.0197040792718482,0.0519430270212548,1.46180174198759,0.627600830468494,0.324437705462849,0.209682935544931,0.247199127031474,0.135914038466531
"asym_dom",158,50,70,0,50,80,7,2000,0.972021406139844,0.809977087069136,0.866044372294373,0.191111598013438,0.81601294622829,0.82348409377698,0.886032196969697,0.90830411919369,1.19771678742849,0.998047109340669,4.59591099043533,1.01418809683238,1.59739639854699,1.68346350534636,1.7344634628384,1.85686262548801,0.00738027575119444,0.0270773022808619,0.0536483957652324,0.0206030815593171,0.0754335205856643,0.0442552129278607,0.048650570528536,0.0204479149330968,0.0112054474673677,0.0411113755766014,1.5108441599272,0.580223229537296,0.289065113659007,0.184953015721774,0.186431477547655,0.085456679154687
"asym_dom",136,50,70,0,50,80,6,2000,0.95538864570898,0.79916172627016,0.777263212977499,0.208217503217503,0.754451850378035,0.773850959393128,0.811060962846677,0.858063063063063,1.19472491395144,0.999361285001322,3.87996241464518,1.0393854656525,1.53572865543617,1.52113192876417,1.65095964881679,1.68666473340293,0.0108167356845861,0.0309290129692738,0.0661794532436657,0.0267745477842527,0.0815531581115911,0.0532076499741759,0.0654632362249132,0.03614643769768,0.0169149962870921,0.048366175784826,1.64908098867219,0.66717682856548,0.337914403123354,0.205585836710625,0.271246030291016,0.139664045335448
"asym_dom",139,50,70,0,50,80,6,2000,0.960248917748918,0.802100636766334,0.827749276506182,0.20614731272626,0.772399505256648,0.766921027131782,0.859477769008156,0.862580061264271,1.19207856044278,0.995749075821036,4.25632440476191,1.06001885237083,1.4700768712035,1.61598027835684,1.63580942366431,1.81754355167442,0.010338343477636,0.0320502188659391,0.0686704512631734,0.0266623600707339,0.0762158128119889,0.0567252571888394,0.0518237491282579,0.0302132184257719,0.0159328350028901,0.049393875343972,1.81569009380878,0.704969636393752,0.276083976414618,0.251853097012061,0.187726223786888,0.134142937526066
"asym_dom",142,50,70,0,50,80,7,2000,0.975444775132275,0.817404858822768,0.879360967184802,0.150379132544738,0.826550925925926,0.841805582477223,0.902621514927215,0.922914771003943,1.20976575749076,1.01376155105885,4.5400150505798,0.77638597859526,1.63590090158615,1.70150188762454,1.7864590114715,1.86544406174958,0.00667629458788485,0.0232755841905962,0.0533327067153861,0.0207556950661477,0.0701837869948111,0.0439759023401337,0.0457916513071839,0.0180630533761221,0.0102691073301946,0.0358012171392125,1.42158830424251,0.553245000481991,0.274923300051972,0.179661916055106,0.17937464521729,0.0737959338334724
"asym_dom",137,50,70,0,50,80,6,2000,0.943455607175119,0.801382028875379,0.711858206969939,0.223559907834101,0.74610594915473,0.760777608915907,0.78732375631817,0.856803635432668,1.17520376303157,0.998231574223295,3.60986019709346,1.13368084409861,1.50846692988146,1.50533394685279,1.59180053564981,1.69533853663436,0.0153109385327922,0.0312230018527548,0.102948679634011,0.0291033187977312,0.0788440254653181,0.0506524933353041,0.0804442535702793,0.0291302774548742,0.0237566511227851,0.0484460152741998,2.64736945629718,0.748404326659661,0.322284464314887,0.198312959208545,0.328825589714627,0.114049894570849
"asym_dom",144,50,70,0,50,80,7,2000,0.96432878505961,0.813119733490104,0.882430997876858,0.20410779696494,0.779734339466613,0.820670847214057,0.929200788595693,0.907568027210885,1.19506192152707,1.00767336430406,4.57047349194454,1.05715832486841,1.61542608447142,1.58639007897251,1.9250853984906,1.75436585721006,0.00938304351012555,0.0279805642212339,0.0532847186114363,0.0281207565595603,0.0765165788177454,0.0470175695484203,0.0332441486516215,0.0305868426362915,0.0144103419419296,0.0429721441364939,1.4294321787631,0.754376026840312,0.328425147985972,0.17568801403455,0.142690833924795,0.114292203743608
"asym_dom",143,50,70,0,50,80,7,2000,0.973436507936507,0.813551698769394,0.92480252764613,0.172832905617337,0.804004761904762,0.826162051899411,0.939708869329722,0.902081551183348,1.22511845048097,1.02389543483973,4.50168426155787,0.841303032634655,1.53940557950547,1.72939496643335,1.799234463649,1.88831633012213,0.00616980116850178,0.0246804872342102,0.0290343186097128,0.0262404260816945,0.0810592423079595,0.0459926387455732,0.020291601482239,0.030044697814436,0.00977264379140695,0.0390926066742065,0.687960786967355,0.621760214874899,0.297160725915093,0.201533024699715,0.0743883961255539,0.131651477103279
"asym_dom",131,50,70,0,50,80,6,2000,0.952073628364389,0.782003941332299,0.758216476774759,0.233952145214521,0.744215838509317,0.762402274342572,0.809735612036226,0.878512494106554,1.18799139778259,0.975779527609482,3.81808735427947,1.17809326823093,1.52154472878767,1.49232734850016,1.65549950491945,1.71960166578045,0.0139195839524562,0.0316900740595461,0.0845759009882827,0.0298541618776306,0.0837418847554791,0.0554043261123398,0.0786006816761392,0.024845398185874,0.0216726379054162,0.0493410940035443,2.14462773547203,0.757024907022963,0.350037329481023,0.212277276216689,0.328547330760946,0.095193170344179
"asym_dom",141,50,70,0,50,80,7,2000,0.974840605698346,0.781131679266007,0.885298259088582,0.226295005807201,0.811277146842,0.830301415002907,0.893951612903226,0.922340301974449,1.23680808118155,0.9910440411856,4.17969459406016,1.0683902320207,1.65665665162647,1.62710871772332,1.82548083785327,1.8074736703236,0.00641106413346757,0.0306585943704736,0.0393210323967812,0.0296772071294643,0.0752833570851891,0.047402073464702,0.0413232808598593,0.0191578072963602,0.01031971083225,0.0493502828609831,0.876465428895871,0.661504657677472,0.313924715709076,0.182036688640562,0.172314302899889,0.0735711235172081
