"ID","run","density","fraction_blue","circle_blue","circle_orange","eth_con_loc","val_lib_loc","eth_con_min","val_lib_min","val_con_loc","eth_lib_loc","val_con_min","eth_lib_min","step","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","de_sq_bl","de_cl_bl","de_sq_or","de_cl_or","dv_sq_bl","dv_cl_bl","dv_sq_or","dv_cl_or","et_sq_bl_v","et_cl_bl_v","et_sq_or_v","et_cl_or_v","vl_sq_bl_v","vl_cl_bl_v","vl_sq_or_v","vl_cl_or_v","de_sq_bl_v","de_cl_bl_v","de_sq_or_v","de_cl_or_v","dv_sq_bl_v","dv_cl_bl_v","dv_sq_or_v","dv_cl_or_v"
"dislib",35,70,80,50,60,20,20,20,20,0,0,0,0,2000,0.998607553366174,0.776626092973516,"0.9865251897860594","0.22875",0.929267651888342,0.946236711329182,"0.9744478951000689","0.9915530303030305",1.23983663845734,0.964232126228925,"5.070408796665765","1.1756983240223444",1.98128908397981,1.78206299779499,"2.0776177601206554","1.8674079588102013",0.000292514133995509,0.0201284389297692,"0.003289264311105446","0.023800244165398266",0.035614045867283,0.013818931424974,"0.011533056909071335","0.00189718388220102",0.000450906083098483,0.031027682090906,"0.08688971358321083","0.6287109223055793",0.161895720267995,0.049014094105461,"0.05242742041002228","0.006729083926815999"
"dislib",25,70,80,50,40,20,20,20,20,0,0,0,0,2000,0.997669995244888,0.825084685036805,"0.9658878504672901","0.20276008492568992",0.889807078323483,0.907929450850108,"0.9629283489096576","0.9913481953290869",1.25596418103403,1.03869697962764,"4.696662216288402","0.9859277444904173",1.75241481364143,1.8444873078081,"1.8964222068046106","2.0139551175379173",0.000630079195253933,0.021584188140585,"0.008254476669640512","0.03607479065310048",0.0566800019246884,0.0204721443000051,"0.012419449197782827","0.0014947341081895178",0.000998563817143173,0.0342071115217706,"0.19517077720522835","0.8529607885593717",0.219842662639605,0.0844910036272498,"0.04817086604523557","0.006168947576086696"
"dislib",19,70,80,50,30,20,20,20,20,0,0,0,0,2000,0.998408066209623,0.871720116618075,"0.9645184389545293","0.14413533834586462",0.906336853807671,0.899083715118701,"0.9655836018617973","0.9913533834586468",1.24561335557975,1.08755753918263,"4.859997341989708","0.7262664278424596",1.5882723863932,2.09402468348388,"1.6920968899678253","2.3089267663396615",0.000291902850774844,0.0165326829723895,"0.012678463582907962","0.022559712033376266",0.0387609450622428,0.0241811112959298,"0.013362211925012081","0.0011253199488081916",0.000454348068944914,0.0257331936397488,"0.32189751339420686","0.5727756489534757",0.119032361166884,0.131171530626763,"0.04103449060110301","0.0061043488995829965"
"dislib",5,70,80,50,0,20,20,20,20,0,0,0,0,2000,0.999535747446611,0.991791233049511,"0.9818178803554845","0",0.878450391298581,0.892125512456638,"0.9823749834195513","0",1.24314289838571,1.23351088862639,"5.0102795454351945","0",1.49426287544938,2.16473369380206,"1.6710408260209937","0",0.000154750851129685,0.00323720718107895,"0.005654046351893788","0",0.0592745139461998,0.0258418495907975,"0.005562318495036255","0",0.000239374834636887,0.00500744214328593,"0.147238507331092","0",0.17150924435424,0.152153038552737,"0.016094422010902845","0"
"dislib",2,70,80,50,0,20,20,20,20,0,0,0,0,2000,0.998528079710145,0.995638269372447,"0.9872349448685327","0",0.90574695910973,0.910945348603576,"0.9888888888888888","0",1.27022701852631,1.26655089239231,"4.615448650882828","0",1.47514226231664,2.36000187359745,"1.6105511346890606","0",0.000574172150744365,0.000958929491713751,"0.005747210249663885","0",0.0475514351381324,0.0238068195186795,"0.005219198790627334","0",0.000929146621210307,0.00155177518806807,"0.12561569144747772","0",0.126129789426054,0.15978699516217,"0.013843881736108437","0"
"dislib",11,70,80,50,20,20,20,20,20,0,0,0,0,2000,0.997179089026915,0.928886077591799,"0.9685129490392649","0.041642857142857134",0.884465579710145,0.895997145452186,"0.9745112781954889","0.9862857142857142",1.2242728992404,1.14042709458246,"5.221296674522114","0.22449850746268654",1.56295972304942,2.0639934243452,"1.7220815737975008","2.2719795918367365",0.00161919315690384,0.0100642776803225,"0.010381867156713655","0.004772808204914618",0.055917723786252,0.0216249377464783,"0.008169597787224585","0.003906372344856313",0.00244066855721446,0.0151702506774464,"0.3017319818717297","0.13871386110264997",0.174615658008448,0.114751463341565,"0.025511404912217202","0.02072893564756183"
"dislib",1,70,80,50,0,20,20,20,20,0,0,0,0,2000,0.999466666666667,0.997044217687075,"0.9918767507002801","0",0.898107936507936,0.902268707482993,"0.9930532212885154","0",1.23366285320466,1.23067277317541,"5.224856648541757","0",1.47434584260837,2.30851893586006,"1.6302092752774777","0",0.000213333333333333,0.000969981400149137,"0.0027355425946189622","0",0.0566683724835425,0.0211021855346129,"0.0025173361379950345","0",0.00032502372707147,0.0014778139212491,"0.07590612461461954","0",0.152715251034321,0.138140978771129,"0.006783953789449665","0"
"dislib",29,70,80,50,50,20,20,20,20,0,0,0,0,2000,0.997534356024289,0.792831741515951,"0.9639830508474575","0.20977513227513223",0.920177372962608,0.922131341868183,"0.967467043314501","0.9925859788359789",1.24347342032034,0.988301998229483,"4.87391990694584","1.0606277696263693",1.80143184186281,1.88499102159916,"1.894010860284892","2.0290121084925796",0.000869680858680076,0.0227907401753474,"0.012561018019174829","0.02396581520048535",0.0403819636109001,0.0171175690411277,"0.011745331136220923","0.0014464623088010285",0.00135137910720884,0.0354140600007377,"0.3211018582485703","0.6126468239732069",0.154767584136865,0.0715278372212784,"0.04501506024708902","0.006044218096743043"
"dislib",38,70,80,50,70,20,20,20,20,0,0,0,0,2000,0.998521532382292,0.756516208066339,"0.9663375919473479","0.2633830991412959",0.906854865715625,0.924206872722704,"0.9577235772357722","0.994755074160812",1.24781228230358,0.945387941644807,"4.836954104651985","1.3183508259470311",1.9950807045744,1.69437926665829,"2.106991869918695","1.8237176359614828",0.000271175447523622,0.0304476978516004,"0.013137831790941985","0.028055664814386493",0.0458644014703273,0.0186030767923585,"0.021540494913145868","0.0010264085550004",0.000423481076761693,0.0475486405161632,"0.32916214307721736","0.7029213726215154",0.221983703116383,0.0625270081076504,"0.1042559953796261","0.0034498731987513518"
"dislib",22,70,80,50,40,20,20,20,20,0,0,0,0,2000,0.998213441404931,0.827635228848821,"0.9687074829931973","0.17648202137998048",0.899380276933469,0.916220857274949,"0.9628401360544216","0.9891480401684487",1.23831667450582,1.02670877968693,"4.996045298585893","0.9101944484582671",1.76581987779724,1.86727499599008,"1.8904153170702276","2.0159019390069",0.000921073477209484,0.0194966677429693,"0.012577010291296003","0.02246331873071659",0.0468337994738782,0.0194313525337576,"0.0186220347113205","0.0024088411496055503",0.00141746025904107,0.030003851368202,"0.3345375268993405","0.5975047264870423",0.180536690094463,0.0807084945480804,"0.07178491916892511","0.010005167805605888"
