BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,
ev_rum_shape.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2019 12:06:47:337 +0000,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,
[run number],density,fraction_blue,circle_blue,circle_orange,similar_wanted_ethnic,similar_wanted_value,num_alternative,e_sqr,v_sqr,v_crl,e_crl,[step],ticks,"mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
1,70,50,50,50,1,1,1,30,11,30,11,19,950,5.960556845,5.930394432,5.946635731,5.678185745,5.676025918,5.663066955,5.875273523,5.84463895,5.86214442,5.538631347,5.538631347,5.527593819
1,70,50,50,50,1,1,1,30,11,30,11,20,1000,5.788863109,5.77262181,5.774941995,5.676025918,5.676025918,5.667386609,5.956236324,5.945295405,5.945295405,5.431415929,5.42699115,5.415929204
1,70,50,50,50,1,1,1,30,11,30,11,21,1050,5.77262181,5.728538283,5.770301624,5.699134199,5.699134199,5.696969697,6.089715536,6.048140044,6.089715536,5.27593819,5.27593819,5.27593819
1,70,50,50,50,1,1,1,30,11,30,11,22,1100,5.832946636,5.825986079,5.812064965,5.764578834,5.764578834,5.745140389,5.897155361,5.89059081,5.875273523,5.66004415,5.66004415,5.637969095
1,70,50,50,50,1,1,1,30,11,30,11,23,1150,5.979118329,5.914153132,5.948955916,5.578833693,5.574514039,5.548596112,6.013129103,5.949671772,6.004376368,5.368653422,5.366445916,5.362030905
1,70,50,50,50,1,1,1,30,11,30,11,24,1200,5.795823666,5.770301624,5.788863109,5.729437229,5.729437229,5.722943723,5.919037199,5.894967177,5.910284464,5.57615894,5.57615894,5.567328918
1,70,50,50,50,1,1,1,30,11,30,11,25,1250,5.726218097,5.689095128,5.716937355,5.641468683,5.641468683,5.632829374,6.024070022,5.989059081,6.013129103,5.55187638,5.55187638,5.540838852
1,70,50,50,50,1,1,1,30,11,30,11,26,1300,5.890951276,5.877030162,5.88863109,5.639308855,5.639308855,5.637149028,5.833698031,5.820568928,5.824945295,5.395143488,5.395143488,5.386313466
1,70,50,50,50,1,1,1,30,11,30,11,27,1350,5.663573086,5.642691415,5.658932715,5.866090713,5.866090713,5.861771058,5.807439825,5.787746171,5.805251641,5.556291391,5.556291391,5.554083885
1,70,50,50,50,1,1,1,30,11,30,11,28,1400,5.719257541,5.700696056,5.693735499,5.928725702,5.928725702,5.904967603,6.032822757,6.015317287,6.030634573,5.375275938,5.375275938,5.373068433
1,70,50,50,50,1,1,1,30,11,30,11,29,1450,5.812064965,5.770301624,5.805104408,5.574514039,5.574514039,5.568034557,6.120350109,6.080962801,6.113785558,5.441501104,5.441501104,5.434878587
1,70,50,50,50,1,1,1,30,11,30,11,30,1500,5.621809745,5.614849188,5.621809745,5.706263499,5.706263499,5.706263499,6.157549234,6.150984683,6.146608315,5.543046358,5.543046358,5.53200883
1,70,50,50,50,1,1,1,30,11,30,11,31,1550,5.665893271,5.614849188,5.6612529,5.73650108,5.73650108,5.732181425,5.805251641,5.757111597,5.79868709,5.72406181,5.72406181,5.717439294
1,70,50,50,50,1,1,1,30,11,30,11,32,1600,5.696055684,5.663573086,5.693735499,5.501079914,5.501079914,5.498920086,6.194748359,6.164113786,6.192560175,5.763796909,5.763796909,5.761589404
1,70,50,50,50,1,1,1,30,11,30,11,33,1650,5.747099768,5.712296984,5.747099768,5.749460043,5.745140389,5.749460043,5.997811816,5.964989059,5.997811816,5.430463576,5.426048565,5.430463576
