"BehaviorSpace results (NetLogo 6.1.1)"
"rum_eth.nlogo"
"experiment"
"11/09/2019 17:53:07:742 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors) ] of turtles with [count (turtles-on neighbors) >= 1]"
"47","1","70","1","46","1","50","50","50","1","50","0.9996744791666667"
"29","1","70","1","28","1","50","50","50","1","50","1"
"51","1","70","1","50","1","50","50","50","1","50","1"
"57","1","70","1","56","1","50","50","50","1","50","0.9991472005932518"
"63","1","70","1","62","1","50","50","50","1","50","1"
"10","1","70","1","9","1","50","50","50","1","50","0.9864021451888694"
"59","1","70","1","58","1","50","50","50","1","50","0.999709671565959"
"24","1","70","1","23","1","50","50","50","1","50","0.9981602914389799"
"3","1","70","1","2","1","50","50","50","1","50","0.6343044263775958"
"25","1","70","1","24","1","50","50","50","1","50","0.9978256321748907"
"61","1","70","1","60","1","50","50","50","1","50","0.9992947290274683"
"41","1","70","1","40","1","50","50","50","1","50","0.9992529053680133"
"44","1","70","1","43","1","50","50","50","1","50","0.9995013850415512"
"49","1","70","1","48","1","50","50","50","1","50","1"
"46","1","70","1","45","1","50","50","50","1","50","1"
"55","1","70","1","54","1","50","50","50","1","50","0.9997033741193919"
"4","1","70","1","3","1","50","50","50","1","50","0.7713768400649574"
"38","1","70","1","37","1","50","50","50","1","50","1"
"19","1","70","1","18","1","50","50","50","1","50","0.9946722068328716"
"1","1","70","1","0","1","50","50","50","1","50","0.5013267751790976"
"34","1","70","1","33","1","50","50","50","1","50","0.999107640825432"
"60","1","70","1","59","1","50","50","50","1","50","0.9997536945812807"
"56","1","70","1","55","1","50","50","50","1","50","1"
"40","1","70","1","39","1","50","50","50","1","50","0.9985949343686449"
"43","1","70","1","42","1","50","50","50","1","50","1"
"30","1","70","1","29","1","50","50","50","1","50","0.998623188405797"
"39","1","70","1","38","1","50","50","50","1","50","1"
"52","1","70","1","51","1","50","50","50","1","50","1"
"14","1","70","1","13","1","50","50","50","1","50","0.9904938223232242"
"62","1","70","1","61","1","50","50","50","1","50","1"
"35","1","70","1","34","1","50","50","50","1","50","0.997955741377514"
"36","1","70","1","35","1","50","50","50","1","50","0.9994306703397613"
"27","1","70","1","26","1","50","50","50","1","50","0.9994284660766962"
"15","1","70","1","14","1","50","50","50","1","50","0.9952367991290145"
"53","1","70","1","52","1","50","50","50","1","50","1"
"54","1","70","1","53","1","50","50","50","1","50","1"
"64","1","70","1","63","1","50","50","50","1","50","0.9995019369120088"
"5","1","70","1","4","1","50","50","50","1","50","0.8926410958209776"
"20","1","70","1","19","1","50","50","50","2","100","0.9988543976348855"
"9","1","70","1","8","1","50","50","50","2","100","0.9897910291512318"
"7","1","70","1","6","1","50","50","50","2","100","0.9750125941245092"
"12","1","70","1","11","1","50","50","50","2","100","0.9943276148312118"
"2","1","70","1","1","1","50","50","50","2","100","0.5659702482471097"
"13","1","70","1","12","1","50","50","50","2","100","0.9945704277286136"
"48","1","70","1","47","1","50","50","50","2","100","0.9996759259259258"
"21","1","70","1","20","1","50","50","50","2","100","0.9976684881602914"
"32","1","70","1","31","1","50","50","50","2","100","0.9979107406236832"
"28","1","70","1","27","1","50","50","50","2","100","0.9992765567765567"
"17","1","70","1","16","1","50","50","50","2","100","0.9972070596797669"
"6","1","70","1","5","1","50","50","50","2","100","0.9571226020594839"
"42","1","70","1","41","1","50","50","50","2","100","0.9991175306687772"
"18","1","70","1","17","1","50","50","50","2","100","0.9970600414078674"
"11","1","70","1","10","1","50","50","50","2","100","0.9902096371268894"
"29","1","70","1","28","1","50","50","50","2","100","0.9997231450719825"
"16","1","70","1","15","1","50","50","50","2","100","0.9976414225170441"
"23","1","70","1","22","1","50","50","50","2","100","0.9987786960514232"
"31","1","70","1","30","1","50","50","50","2","100","0.9994647069497369"
"41","1","70","1","40","1","50","50","50","2","100","0.9994929941002949"
"61","1","70","1","60","1","50","50","50","2","100","0.999128176590614"
"26","1","70","1","25","1","50","50","50","2","100","0.9993406593406592"
"47","1","70","1","46","1","50","50","50","2","100","0.9994050938836214"
"58","1","70","1","57","1","50","50","50","2","100","0.9990857560797219"
"50","1","70","1","49","1","50","50","50","2","100","0.9983490377705023"
"37","1","70","1","36","1","50","50","50","2","100","0.9994362611383887"
"19","1","70","1","18","1","50","50","50","2","100","0.9966112650046168"
"24","1","70","1","23","1","50","50","50","2","100","0.9997542326597487"
"55","1","70","1","54","1","50","50","50","2","100","0.9995179829440118"
"10","1","70","1","9","1","50","50","50","2","100","0.9907819057982276"
"63","1","70","1","62","1","50","50","50","2","100","0.9994174403786636"
"8","1","70","1","7","1","50","50","50","2","100","0.9810546668778373"
"49","1","70","1","48","1","50","50","50","2","100","0.9997776542523624"
"45","1","70","1","44","1","50","50","50","2","100","0.9993070953436806"
"51","1","70","1","50","1","50","50","50","2","100","1"
"33","1","70","1","32","1","50","50","50","2","100","1"
"34","1","70","1","33","1","50","50","50","2","100","0.9995166387804425"
"25","1","70","1","24","1","50","50","50","2","100","0.9986728903532855"
"38","1","70","1","37","1","50","50","50","2","100","1"
"22","1","70","1","21","1","50","50","50","2","100","0.999196460816179"
"4","1","70","1","3","1","50","50","50","2","100","0.7705925518253525"
"3","1","70","1","2","1","50","50","50","2","100","0.6425842044134714"
"44","1","70","1","43","1","50","50","50","2","100","0.9985542804379368"
"57","1","70","1","56","1","50","50","50","2","100","1"
"46","1","70","1","45","1","50","50","50","2","100","1"
"40","1","70","1","39","1","50","50","50","2","100","1"
"14","1","70","1","13","1","50","50","50","2","100","0.995700949242959"
"56","1","70","1","55","1","50","50","50","2","100","0.9993254182406907"
"1","1","70","1","0","1","50","50","50","2","100","0.4948792404129798"
"60","1","70","1","59","1","50","50","50","2","100","0.998986107853103"
"39","1","70","1","38","1","50","50","50","2","100","0.9997704315886135"
"59","1","70","1","58","1","50","50","50","2","100","1"
"64","1","70","1","63","1","50","50","50","2","100","0.9980024771391677"
"43","1","70","1","42","1","50","50","50","2","100","1"
"35","1","70","1","34","1","50","50","50","2","100","0.998793876805925"
"36","1","70","1","35","1","50","50","50","2","100","1"
"52","1","70","1","51","1","50","50","50","2","100","0.9995261527246218"
"30","1","70","1","29","1","50","50","50","2","100","1"
"15","1","70","1","14","1","50","50","50","2","100","0.9968591140159766"
"62","1","70","1","61","1","50","50","50","2","100","0.9995413685562281"
"27","1","70","1","26","1","50","50","50","2","100","1"
"53","1","70","1","52","1","50","50","50","2","100","1"
"54","1","70","1","53","1","50","50","50","2","100","0.999585635359116"
"5","1","70","1","4","1","50","50","50","2","100","0.9162035277123076"
"9","1","70","1","8","1","50","50","50","3","150","0.98803077914753"
"7","1","70","1","6","1","50","50","50","3","150","0.9766292820023328"
"13","1","70","1","12","1","50","50","50","3","150","0.996397641422517"
"20","1","70","1","19","1","50","50","50","3","150","0.9976810790835181"
"12","1","70","1","11","1","50","50","50","3","150","0.9941747700740505"
"32","1","70","1","31","1","50","50","50","3","150","0.998858825694828"
"2","1","70","1","1","1","50","50","50","3","150","0.5647587915211565"
"21","1","70","1","20","1","50","50","50","3","150","0.9984508839074175"
"42","1","70","1","41","1","50","50","50","3","150","0.9980965571824298"
"48","1","70","1","47","1","50","50","50","3","150","1"
"28","1","70","1","27","1","50","50","50","3","150","0.9984462944056127"
"17","1","70","1","16","1","50","50","50","3","150","0.9978450627386798"
"23","1","70","1","22","1","50","50","50","3","150","0.9989996328928047"
"16","1","70","1","15","1","50","50","50","3","150","0.9986338150517255"
"18","1","70","1","17","1","50","50","50","3","150","0.9982880434782607"
"6","1","70","1","5","1","50","50","50","3","150","0.9642687261512719"
"50","1","70","1","49","1","50","50","50","3","150","1"
"47","1","70","1","46","1","50","50","50","3","150","1"
"11","1","70","1","10","1","50","50","50","3","150","0.9906744958664911"
"34","1","70","1","33","1","50","50","50","3","150","1"
"26","1","70","1","25","1","50","50","50","3","150","1"
"61","1","70","1","60","1","50","50","50","3","150","0.9989692703361969"
"41","1","70","1","40","1","50","50","50","3","150","0.9992572692793932"
"55","1","70","1","54","1","50","50","50","3","150","1"
"29","1","70","1","28","1","50","50","50","3","150","0.999750830564784"
"10","1","70","1","9","1","50","50","50","3","150","0.992798201979377"
"8","1","70","1","7","1","50","50","50","3","150","0.9837684546919154"
"31","1","70","1","30","1","50","50","50","3","150","0.9989156891685439"
"51","1","70","1","50","1","50","50","50","3","150","1"
"37","1","70","1","36","1","50","50","50","3","150","0.9989946223988777"
"49","1","70","1","48","1","50","50","50","3","150","0.9996294237539375"
"19","1","70","1","18","1","50","50","50","3","150","0.9994736842105263"
"33","1","70","1","32","1","50","50","50","3","150","1"
"22","1","70","1","21","1","50","50","50","3","150","0.999322125813449"
"45","1","70","1","44","1","50","50","50","3","150","0.9996766444937176"
"57","1","70","1","56","1","50","50","50","3","150","1"
"58","1","70","1","57","1","50","50","50","3","150","1"
"24","1","70","1","23","1","50","50","50","3","150","1"
"63","1","70","1","62","1","50","50","50","3","150","1"
"25","1","70","1","24","1","50","50","50","3","150","0.9992765567765567"
"56","1","70","1","55","1","50","50","50","3","150","1"
"3","1","70","1","2","1","50","50","50","3","150","0.6661327600454493"
"44","1","70","1","43","1","50","50","50","3","150","0.9988998812821527"
