"run","circle_orange","density","circle_blue","fraction_blue","dominant","step","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","de_sq_bl","de_cl_bl","de_sq_or","de_cl_or","dv_sq_bl","dv_cl_bl","dv_sq_or","dv_cl_or","et_sq_bl_v","et_cl_bl_v","et_sq_or_v","et_cl_or_v","vl_sq_bl_v","vl_cl_bl_v","vl_sq_or_v","vl_cl_or_v","de_sq_bl_v","de_cl_bl_v","de_sq_or_v","de_cl_or_v","dv_sq_bl_v","dv_cl_bl_v","dv_sq_or_v","dv_cl_or_v"
46,50,70,50,80,2,2000,0.843428170707273,0.838712335216572,0.321496383363472,0.362564766839378,0.636397181593536,0.640978948076406,0.668422242314647,0.696428571428572,1.05176264496361,1.04588195496395,1.62305296672385,1.83038395110934,1.29471389871842,1.26061564482951,1.35986706473198,1.36966862216585,0.0331938233201788,0.0310133816541811,0.0690979578056329,0.0641799213343585,0.066439460209758,0.0705204128287122,0.0717109836389338,0.0620793916524944,0.0516174513711773,0.0482267952067249,1.76107727974905,1.63573287644698,0.274990202252813,0.272767547657064,0.296808821630408,0.240118325203548
49,50,70,50,80,2,2000,0.841428903963819,0.852248490945673,0.377574171029669,0.354684418145957,0.631991553604683,0.621537558685447,0.669527549239591,0.632044237813468,1.05444141050725,1.06800003739124,1.86904444218842,1.75573699508816,1.24516968720129,1.26214501973965,1.3191242894059,1.2834807420144,0.0320099552034158,0.0325012517427757,0.0825565697621016,0.0735531925212557,0.0661147928150372,0.0670597601802863,0.0748161471992121,0.074404347197224,0.0502684067271885,0.0510399383993596,2.02295555301626,1.80233795664866,0.25664521541625,0.27653223051028,0.290422239819657,0.306818873714943
18,50,70,50,80,0,2000,0.793521320957762,0.788910045286127,0.178455988455988,0.200924583031182,0.493639023405973,0.503281528749828,0.495339105339105,0.518678994440416,0.998264527078011,0.992463456828233,0.870096186808894,0.979646102348166,0.996879721180256,0.996960604089168,1.00031295300174,1.02746175666367,0.0304655714993455,0.0318029212842934,0.0229079078909218,0.0346673852083393,0.0482072047532803,0.0516838244892669,0.0400258974555577,0.0488867349229135,0.0482151371864526,0.0503316411669847,0.544575008085048,0.82412552337878,0.196597732390516,0.20280966812983,0.163232876017822,0.191833761987292
42,50,70,50,80,2,2000,0.816460685091475,0.847629521016617,0.348548199767712,0.357784431137724,0.650845011028935,0.632558301913141,0.686056910569106,0.612289706301682,1.0309545938867,1.07031185280912,1.67528005694803,1.71967355611358,1.23930871109663,1.33217225420577,1.30635756772903,1.28948644860707,0.0420880723185195,0.0309058306512327,0.054374535383259,0.0587396140429574,0.0677581244206811,0.0665945333166045,0.0634149077652742,0.0749063135101816,0.0671069587434252,0.0492775313335256,1.2561592716376,1.35700121890499,0.245677407386178,0.295364453877447,0.229929772445872,0.332229408031473
44,50,70,50,80,2,2000,0.840086933956143,0.826831106543337,0.373706268221574,0.384599395313681,0.643058258725834,0.618228845495033,0.613040573372206,0.61257243638196,1.0664224619989,1.04959526051057,1.76078745598425,1.81211247558186,1.254309334762,1.26862797028053,1.19575870978191,1.25702081402362,0.033542325063274,0.0367736836056064,0.0691517640960972,0.0725312638564376,0.0729596033365722,0.0656092904480156,0.0832577227363123,0.0533622852308022,0.0540509425050278,0.0592580345731908,1.53516962946575,1.6101945469451,0.277581892589791,0.276271048800035,0.316762087414983,0.224700715499448
25,50,70,50,80,1,2000,0.818097858125368,0.819606782106782,0.243849206349206,0.233354591836735,0.554738979498265,0.54189295552932,0.5517089093702,0.541057256235828,1.0174141979577,1.01929074691463,1.24473309568649,1.19116312838695,1.09793355526108,1.09530265172425,1.09193647232415,1.09361349219031,0.0314158149141357,0.0307821268929028,0.0364244640048211,0.0332531615886303,0.0546136881539556,0.0546551680518317,0.0621607658102475,0.0564233945051265,0.0485884904017399,0.0476084125517291,0.949080282384359,0.866448439338262,0.213932248717281,0.223291659567481,0.243495593527524,0.230515683082931
40,50,70,50,80,1,2000,0.824237170596394,0.807512372926699,0.248507078507078,0.284303103263777,0.548568456508817,0.535456795077582,0.543140283140283,0.588563402889245,1.03302858226875,1.01206714708747,1.22952813498268,1.40663463763566,1.08744916985633,1.08053977972959,1.07668868490061,1.18770772088661,0.0333179326522051,0.0340142201808675,0.0480254166933127,0.0522105551233592,0.060389161382563,0.0588752999731527,0.055019344738483,0.0586310842710304,0.0523357352534517,0.0534294621704472,1.17562971937722,1.27807907758873,0.237309578505545,0.239753957326349,0.216207962002113,0.238759454010837
43,50,70,50,80,2,2000,0.834047619047619,0.828233905293961,0.356968337073049,0.382901002506266,0.620524164889837,0.632477055067838,0.60380204437796,0.655889724310776,1.06332044939188,1.05590859354577,1.6555460672128,1.77581646044245,1.27347990634186,1.23353968687071,1.23916168689414,1.27920214443393,0.0335429881469278,0.036594059602165,0.0759057457280699,0.0727997332159448,0.0707830804597603,0.0648470469491272,0.0712961408913708,0.0699013595970273,0.0545190635057459,0.0594781195594289,1.6326676925865,1.56586001903459,0.298123530165239,0.246664646009365,0.300284433393331,0.265890197499675
34,50,70,50,80,1,2000,0.822929748822605,0.819971717968956,0.221369047619048,0.241521023302938,0.560603087388802,0.570034201525915,0.542678571428571,0.575854863221885,1.02016084564786,1.01649386525077,1.14501231527094,1.24924667225658,1.13635760957189,1.12506750301167,1.10002413127413,1.13655565109582,0.0332556533623875,0.0274009970255367,0.0447286719719334,0.0428133994974522,0.0573701557677148,0.0643173928125107,0.0668719997432936,0.0591637568550955,0.0511066321053014,0.0421093117324353,1.19666482683532,1.14542388667381,0.235724708687652,0.250543860505797,0.27476625168446,0.230468235671684
15,50,70,50,80,0,2000,0.804913506957743,0.804136987204854,0.208614232209738,0.222880061115355,0.513834099323375,0.513467880226883,0.517730069555912,0.505634071810542,1.00504527128988,1.00407567952759,1.04764352778205,1.11928534801218,1.0193267359954,1.03540882778424,1.02705543019046,1.01961194018562,0.0298781196300064,0.0288605167993216,0.0314567887079926,0.0325790451403761,0.0494706083681288,0.0482002652401113,0.0444499930492309,0.0570337197277086,0.046582852666858,0.0449963123048076,0.793329467857448,0.821632391800737,0.19468309355075,0.195995721766969,0.174925323148211,0.231915011409207
