names
run
density
fraction_blue
circle_blue
circle_orange
similar_wanted_ethnic
similar_wanted_value
num_alternative
e_sqr
v_sqr
v_crl
e_crl
step
ticks
den_loc_cir
eth_loc_cir
val_loc_cir
den_loc_sqr
eth_loc_sqr
val_loc_sqr
den_min_cir
eth_min_cir
val_min_cir
den_min_sqr
eth_min_sqr
val_min_sqr
